"var_name","var_type","unique_count","missing_perc","zero_perc","most_common_five_non_NA","mean","min","Q1","median","Q3","max","sd"
"","","0","0","0","0","0","0","0","0","0","0","0"
"file name:","","0","0","0","0","0","0","0","0","0","0","0"
"","","0","0","0","0","0","0","0","0","0","0","0"
"STU_ID","integer","6158","0","0","124915 (prop: 0.02) , 124916 (prop: 0.02) , 124944 (prop: 0.02) , 124947 (prop: 0.02) , 124966 (prop: 0.02) ","4764266.481","124915","2507638.5","4692291.5","7237222.75","9199197","2667094.135"
"F4UNIV1","integer","40","0","0","1126 (prop: 94.53) , 1100 (prop: 1.28) , 1025 (prop: 0.58) , 1140 (prop: 0.57) , 1141 (prop: 0.55) ","1124.505","1025","1126","1126","1126","1149","11.569"
"BIRTHYR","integer","4","0","0","74 (prop: 74.1) , 73 (prop: 23.17) , 75 (prop: 1.45) , 72 (prop: 1.28) ","73.757","72","74","74","74","75","0.488"
"F1DOSTAT","integer","6","0","97.21","0 (prop: 97.21) , 1 (prop: 2.14) , 4 (prop: 0.39) , 3 (prop: 0.23) , 2 (prop: 0.02) ","0.045","0","0","0","0","5","0.327"
"F2DOSTAT","integer","5","0","97.79","0 (prop: 97.79) , 3 (prop: 1.27) , 5 (prop: 0.7) , 2 (prop: 0.13) , 1 (prop: 0.11) ","0.077","0","0","0","0","5","0.538"
"F2RTROUT","integer","13","0","0","1 (prop: 83.52) , 99 (prop: 11.56) , 7 (prop: 1.35) , 14 (prop: 0.88) , 2 (prop: 0.8) ","12.645","1","1","1","1","99","31.269"
"F3DIPLOM","integer","7","0","0","1 (prop: 97.66) , 2 (prop: 1.28) , -9 (prop: 0.45) , 5 (prop: 0.29) , 6 (prop: 0.21) ","0.992","-9","1","1","1","6","0.758"
"F4EGRD","integer","13","0","0","3 (prop: 33.37) , 2 (prop: 31.26) , 1 (prop: 12.93) , 4 (prop: 11.53) , 5 (prop: 4.21) ","2.468","-7","2","3","3","9","1.795"
"F4BYPNFL","integer","1","0","0","1 (prop: 100) ","1","1","1","1","1","1","0"
"F4PNLFL","integer","2","0","3.62","1 (prop: 96.38) , 0 (prop: 3.62) ","0.964","0","1","1","1","1","0.187"
"F4F1PNFL","integer","2","0","3.62","1 (prop: 96.38) , 0 (prop: 3.62) ","0.964","0","1","1","1","1","0.187"
